,Accuracy,Precision,Recall,F1-Score,AUC-ROC,Average Score
Random Forest,0.8916509051607674,0.8957317073170732,0.8646262507357269,0.8799041629230309,0.9660698336389919,0.899596571955118
Logistic Regression,0.8824641988651716,0.8695906432748538,0.8752207180694527,0.8723965972425931,0.9592454337892831,0.8917835182482708
SVM,0.8924614968927317,0.8732071141709696,0.8958210712183637,0.8843695525857059,0.9570385470915194,0.900579556391858
Ensemble,0.8935422858686841,0.8791400348634515,0.8905238375515009,0.8847953216374269,0.9650730376157098,0.9026149035073546
